ad_id,total_clicks,unique_ips,unique_devices,unique_publishers,fraud_clicks,fraud_rate,attributed_clicks,conversion_rate,synthetic_clicks,synthetic_rate,ip_concentration,device_concentration,os_variety,os_diversity,unique_timestamps,timestamp_concentration,unique_ip_device_pairs,ip_device_ratio,publishers_per_click,is_ad_fraud
0,13,9,5,1,0,0.0,6,0.46153846153846156,0,0.0,0.3076923076923077,0.6153846153846154,5,0.38461538461538464,12,0.07692307692307687,10,1.1111111111111112,0.07692307692307693,0
1,32070,12987,4,24,1736,0.05413158715310259,11,0.00034299968818210166,0,0.0,0.0054256314312441534,0.9710632990333645,75,0.0023386342376052385,1312,0.9590894917368257,13406,1.0322630322630322,0.0007483629560336763,0
10,2852,2314,3,7,145,0.05084151472650771,30,0.010518934081346423,0,0.0,0.004908835904628331,0.9978962131837307,54,0.018934081346423562,1152,0.5960729312762973,2315,1.0004321521175454,0.0024544179523141654,0
100,46,45,2,1,4,0.08695652173913043,0,0.0,0,0.0,0.043478260869565216,0.782608695652174,5,0.10869565217391304,45,0.021739130434782594,45,1.0,0.021739130434782608,0
102,5,5,1,1,0,0.0,0,0.0,0,0.0,0.2,1.0,1,0.2,5,0.0,5,1.0,0.2,0
103,113,109,1,4,0,0.0,2,0.017699115044247787,0,0.0,0.02654867256637168,1.0,29,0.25663716814159293,106,0.06194690265486724,109,1.0,0.035398230088495575,0
104,1,1,1,1,0,0.0,0,0.0,0,0.0,1.0,1.0,1,1.0,1,0.0,1,1.0,1.0,0
105,12,11,1,1,1,0.08333333333333333,3,0.25,0,0.0,0.16666666666666666,1.0,7,0.5833333333333334,12,0.0,11,1.0,0.08333333333333333,0
107,87,78,2,1,2,0.022988505747126436,10,0.11494252873563218,0,0.0,0.034482758620689655,0.9885057471264368,14,0.16091954022988506,87,0.0,78,1.0,0.011494252873563218,0
108,29,25,1,2,1,0.034482758620689655,6,0.20689655172413793,0,0.0,0.06896551724137931,1.0,11,0.3793103448275862,28,0.03448275862068961,25,1.0,0.06896551724137931,0
109,144,16,1,1,2,0.013888888888888888,0,0.0,0,0.0,0.2152777777777778,1.0,5,0.034722222222222224,132,0.08333333333333337,16,1.0,0.006944444444444444,0
11,10413,6354,2,12,559,0.05368289637952559,17,0.0016325746662825315,0,0.0,0.004801690194948622,0.9962546816479401,69,0.006626332469029098,1312,0.8740036492845482,6372,1.0028328611898016,0.0011524056467876692,0
110,47,39,2,3,2,0.0425531914893617,1,0.02127659574468085,0,0.0,0.0851063829787234,0.8297872340425532,8,0.1702127659574468,44,0.06382978723404253,40,1.0256410256410255,0.06382978723404255,0
112,7,6,4,1,1,0.14285714285714285,0,0.0,0,0.0,0.2857142857142857,0.42857142857142855,5,0.7142857142857143,7,0.0,6,1.0,0.14285714285714285,0
115,34,23,1,1,3,0.08823529411764706,17,0.5,0,0.0,0.11764705882352941,1.0,9,0.2647058823529412,33,0.02941176470588236,23,1.0,0.029411764705882353,0
118,100,85,1,2,4,0.04,0,0.0,0,0.0,0.03,1.0,19,0.19,93,0.06999999999999995,85,1.0,0.02,0
119,20,19,2,1,5,0.25,0,0.0,0,0.0,0.1,0.95,2,0.1,20,0.0,19,1.0,0.05,0
12,141851,26774,4,26,9309,0.06562519827142566,19,0.00013394336310635808,0,0.0,0.012160647439919353,0.9466975911343593,94,0.0006626671648419821,1312,0.9907508582949714,28490,1.0640920295809366,0.00018329091793501632,0
120,9,7,6,3,0,0.0,3,0.3333333333333333,0,0.0,0.3333333333333333,0.3333333333333333,4,0.4444444444444444,9,0.0,7,1.0,0.3333333333333333,0
121,17,13,1,1,2,0.11764705882352941,2,0.11764705882352941,0,0.0,0.11764705882352941,1.0,8,0.47058823529411764,17,0.0,13,1.0,0.058823529411764705,0
122,34,31,3,1,0,0.0,2,0.058823529411764705,0,0.0,0.08823529411764706,0.8823529411764706,16,0.47058823529411764,34,0.0,31,1.0,0.029411764705882353,0
124,3,3,1,1,0,0.0,0,0.0,0,0.0,0.3333333333333333,1.0,1,0.3333333333333333,3,0.0,3,1.0,0.3333333333333333,0
125,5,5,3,2,0,0.0,2,0.4,0,0.0,0.2,0.6,3,0.6,5,0.0,5,1.0,0.4,0
126,1,1,1,1,0,0.0,0,0.0,0,0.0,1.0,1.0,1,1.0,1,0.0,1,1.0,1.0,0
127,4,4,1,1,0,0.0,2,0.5,0,0.0,0.25,1.0,2,0.5,4,0.0,4,1.0,0.25,0
128,17,10,1,1,0,0.0,2,0.11764705882352941,0,0.0,0.29411764705882354,1.0,5,0.29411764705882354,17,0.0,10,1.0,0.058823529411764705,0
13,14694,8826,4,5,799,0.05437593575609092,1,6.805498843065197e-05,0,0.0,0.005308289097590854,0.9783585136790527,59,0.004015244317408466,1312,0.9107118551789846,8989,1.018468162247904,0.0003402749421532598,0
130,16,13,8,3,0,0.0,1,0.0625,0,0.0,0.125,0.5,7,0.4375,16,0.0,13,1.0,0.1875,0
134,21,1,1,1,0,0.0,0,0.0,0,0.0,1.0,1.0,1,0.047619047619047616,21,0.0,1,1.0,0.047619047619047616,0
136,20,19,1,1,0,0.0,2,0.1,0,0.0,0.1,1.0,6,0.3,19,0.050000000000000044,19,1.0,0.05,0
137,3,3,2,1,0,0.0,0,0.0,0,0.0,0.3333333333333333,0.6666666666666666,3,1.0,3,0.0,3,1.0,0.3333333333333333,0
14,35943,13715,3,26,2086,0.05803633530868319,17,0.0004729710931196617,0,0.0,0.004590601786161422,0.9653061792282225,81,0.0022535681495701528,1325,0.9631360765656735,14286,1.0416332482683193,0.000723367554183012,0
141,16,12,2,1,0,0.0,0,0.0,0,0.0,0.1875,0.875,3,0.1875,14,0.125,13,1.0833333333333333,0.0625,0
142,1,1,1,1,0,0.0,0,0.0,0,0.0,1.0,1.0,1,1.0,1,0.0,1,1.0,1.0,0
143,3,3,1,1,0,0.0,1,0.3333333333333333,0,0.0,0.3333333333333333,1.0,2,0.6666666666666666,3,0.0,3,1.0,0.3333333333333333,0
145,18,16,16,1,0,0.0,7,0.3888888888888889,0,0.0,0.1111111111111111,0.1111111111111111,5,0.2777777777777778,18,0.0,16,1.0,0.05555555555555555,0
146,4,3,1,1,1,0.25,0,0.0,0,0.0,0.5,1.0,1,0.25,4,0.0,3,1.0,0.25,0
148,11,11,2,3,0,0.0,1,0.09090909090909091,0,0.0,0.09090909090909091,0.9090909090909091,5,0.45454545454545453,11,0.0,11,1.0,0.2727272727272727,0
149,2,2,1,1,0,0.0,0,0.0,0,0.0,0.5,1.0,1,0.5,2,0.0,2,1.0,0.5,0
15,114425,23994,3,25,6019,0.05260214114048503,24,0.0002097443740441337,0,0.0,0.0043784138081712914,0.9527463403976404,87,0.0007603233559099847,1312,0.9885339742189206,25339,1.0560556805868133,0.00021848372296263927,0
150,970,596,1,2,25,0.02577319587628866,7,0.007216494845360825,0,0.0,0.026804123711340205,1.0,35,0.03608247422680412,603,0.3783505154639175,596,1.0,0.002061855670103093,0
151,593,48,1,1,112,0.18887015177065766,0,0.0,0,0.0,0.05396290050590219,1.0,5,0.008431703204047217,479,0.19224283305227652,48,1.0,0.0016863406408094434,0
152,2,2,2,1,0,0.0,1,0.5,0,0.0,0.5,0.5,1,0.5,2,0.0,2,1.0,0.5,0
153,1,1,1,1,0,0.0,0,0.0,0,0.0,1.0,1.0,1,1.0,1,0.0,1,1.0,1.0,0
154,4,4,2,2,0,0.0,1,0.25,0,0.0,0.25,0.75,2,0.5,4,0.0,4,1.0,0.5,0
155,17,15,1,2,0,0.0,7,0.4117647058823529,0,0.0,0.11764705882352941,1.0,10,0.5882352941176471,17,0.0,15,1.0,0.11764705882352941,0
158,6,5,1,1,0,0.0,1,0.16666666666666666,0,0.0,0.3333333333333333,1.0,4,0.6666666666666666,6,0.0,5,1.0,0.16666666666666666,0
159,2,2,1,1,0,0.0,0,0.0,0,0.0,0.5,1.0,1,0.5,2,0.0,2,1.0,0.5,0
16,19,18,1,3,0,0.0,9,0.47368421052631576,0,0.0,0.10526315789473684,1.0,11,0.5789473684210527,19,0.0,18,1.0,0.15789473684210525,0
160,7,2,2,1,6,0.8571428571428571,0,0.0,0,0.0,0.8571428571428571,0.8571428571428571,6,0.8571428571428571,7,0.0,3,1.5,0.14285714285714285,1
162,9,9,1,1,1,0.1111111111111111,0,0.0,0,0.0,0.1111111111111111,1.0,4,0.4444444444444444,9,0.0,9,1.0,0.1111111111111111,0
165,3,2,1,1,0,0.0,0,0.0,0,0.0,0.6666666666666666,1.0,1,0.3333333333333333,3,0.0,2,1.0,0.3333333333333333,0
166,11,11,1,1,0,0.0,0,0.0,0,0.0,0.09090909090909091,1.0,1,0.09090909090909091,11,0.0,11,1.0,0.09090909090909091,0
167,9,8,1,1,0,0.0,4,0.4444444444444444,0,0.0,0.2222222222222222,1.0,7,0.7777777777777778,9,0.0,8,1.0,0.1111111111111111,0
168,3,3,1,1,0,0.0,0,0.0,0,0.0,0.3333333333333333,1.0,1,0.3333333333333333,3,0.0,3,1.0,0.3333333333333333,0
