ad_id,is_ad_fraud
0,0
1,0
10,0
100,0
102,0
103,0
104,0
105,0
107,0
108,0
109,0
11,0
110,0
112,0
115,0
118,0
119,0
12,0
120,0
121,0
122,0
124,0
125,0
126,0
127,0
128,0
13,0
130,0
134,0
136,0
137,0
14,0
141,0
142,0
143,0
145,0
146,0
148,0
149,0
15,0
150,0
151,0
152,0
153,0
154,0
155,0
158,0
159,0
16,0
160,1
162,0
165,0
166,0
167,0
168,0
17,0
170,0
172,0
173,0
175,0
176,0
177,0
18,0
181,0
182,0
183,0
184,0
186,0
188,0
19,0
190,0
192,0
193,0
194,0
197,0
2,0
20,0
202,0
203,0
206,0
207,0
208,0
21,0
210,0
215,0
216,0
218,1
22,0
220,0
222,0
223,0
226,0
229,0
23,0
230,0
231,0
232,1
233,0
236,0
239,0
24,0
240,0
244,0
25,0
250,0
251,0
257,0
258,1
26,0
261,0
265,0
266,1
267,0
268,0
27,0
278,0
279,0
28,0
283,0
284,0
286,0
29,0
292,0
294,0
299,0
3,0
302,0
303,0
305,0
315,0
32,0
322,0
326,0
33,0
34,0
347,0
35,0
36,0
361,0
363,0
37,0
372,0
38,0
381,0
39,0
4,1
40,0
407,1
42,0
425,1
45,0
46,0
469,1
47,0
48,0
481,0
49,0
5,0
50,0
502,0
51,0
52,0
53,0
536,0
538,0
54,0
541,0
549,0
55,0
551,0
556,0
56,0
561,0
563,0
57,0
58,0
59,0
6,0
60,0
61,0
610,1
64,0
645,0
65,0
66,0
68,0
69,0
71,0
72,0
73,0
74,0
75,0
76,0
78,0
79,0
8,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
9,0
90,0
93,0
94,1
95,0
96,0
98,0
99,0
